species,clade,superorder,order,family,status,tip_age,age_max,age_min,Mass,Activity,Diet,Sociality,Locomotion,specimen_ID,source,reference
Anotomys_leander,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,66.39,NA,Carnivore,NA,Semi-Aquatic,ummz:mammals:155603,https://n2t.net/ark:/87602/m4/673837,"56, 101"
Anoura_geoffroyi,Placentalia,Laurasiatheria,Chiroptera,Phyllostomidae,extant,0,0,0,15.15,NA,Omnivore,Social,Volant,UMMZ:mammals:108647,https://n2t.net/ark:/87602/m4/M34513,"56, 101"
Anourosorex_squamipes,Placentalia,Laurasiatheria,Eulipotyphla,Soricidae,extant,0,0,0,20,NA,NA,NA,Fossorial,nhmuk:zoo:1933.4.1.165,https://n2t.net/ark:/87602/m4/M157301,"56, 101"
Antechinus_flavipes,Metatheria,Marsupialia,Dasyuromorphia,Dasyuridae,extant,0,0,0,44.33,Mixed,Carnivore,NA,Semi-arboreal,QMF:31408,"Weisbecker et al., 2021","56, 101"
Antilocapra_americana,Placentalia,Laurasiatheria,Artiodactyla,Antilocapridae,extant,0,0,0,47450.01,NA,Herbivore,Social,Terrestrial,USNM:MAMM:USNM 282308,https://n2t.net/ark:/87602/m4/M100275,"56, 101"
Antrozous_pallidus,Placentalia,Laurasiatheria,Chiroptera,Vespertilionidae,extant,0,0,0,22.24,NA,Carnivore,Social,Volant,UMMZ:mammals:86542,https://n2t.net/ark:/87602/m4/M34517,"56, 101"
Aotus_trivirgatus,Placentalia,Euarchontoglires,Primates,Aotidae,extant,0,0,0,912.4,Nocturnal,Omnivore,Social,Arboreal,ummz:mammals:124693,https://n2t.net/ark:/87602/m4/671742,"56, 101"
Aplodontia_rufa,Placentalia,Euarchontoglires,Rodentia,Aplodontiidae,extant,0,0,0,806.21,NA,Herbivore,Solitary,Semi-fossorial,ummz:mammals:88581,https://n2t.net/ark:/87602/m4/673893,"56, 101"
Apterodon_macrognathus,Placentalia,Laurasiatheria,Hyaenodonta,Hyainailouridae,extinct,32.505,37.71,27.3,47007,NA,Carnivore,NA,Semi-Aquatic,fmnh:pm:57147,https://n2t.net/ark:/87602/m4/518818,"43, 76, 113"
Archaeolemur_sp,Placentalia,Euarchontoglires,Primates,Archaeolemuridae,extinct,0.00585,0.0117,0,26500,NA,Herbivore,NA,Terrestrial,dpc:24813,https://n2t.net/ark:/87602/m4/M90343,"82, 114, 115"
Archaeotherium_mortoni,Placentalia,Laurasiatheria,Artiodactyla,Entelodontidae,extinct,34.4,37,31.8,230000,NA,Omnivore,NA,Terrestrial,YPM:VPPU:10908,https://n2t.net/ark:/87602/m4/392360,"76, 107, 116"
Arctocyon_primaevus,Placentalia,Laurasiatheria,Arctocyonia,Arctocyonidae,extinct,57.62,59.24,56,16144,NA,Omnivore,NA,NA,mnhn:f:cr700,https://n2t.net/ark:/87602/m4/411215,"76, 117"
Arctodus_simus,Placentalia,Laurasiatheria,Carnivora,Ursidae,extinct,2.356,4.7,0.0117,525763,NA,Carnivore,NA,Terrestrial,fmnh:pm:59022,https://n2t.net/ark:/87602/m4/411151,"76, 118"
Argyrocetus_joaquinensis,Placentalia,Laurasiatheria,Artiodactyla,Argyrocetidae,extinct,25.17,27.3,23.04,80100,NA,NA,NA,Aquatic,USNM:PAL:V11996,https://n2t.net/ark:/87602/m4/451506,"76, 119, 120"
Artibeus_planirostris,Placentalia,Laurasiatheria,Chiroptera,Phyllostomidae,extant,0,0,0,43.63,NA,Omnivore,Social,Volant,UMMZ:mammals:126736,https://n2t.net/ark:/87602/m4/M34739,"56, 101"
Arvicola_scherman,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,272,NA,Herbivore,NA,Fossorial,UMMZ:mammals:138456,https://n2t.net/ark:/87602/m4/M65521,"15, 101"
Asellia_tridens,Placentalia,Laurasiatheria,Chiroptera,Hipposideridae,extant,0,0,0,12.94,NA,Carnivore,NA,Volant,UMMZ:mammals:160968,https://n2t.net/ark:/87602/m4/M55749,"56, 101"
Ateles_geoffroyi,Placentalia,Euarchontoglires,Primates,Atelidae,extant,0,0,0,7582.4,Diurnal,Herbivore,Social,Arboreal,USNM:MAMM:291056,https://n2t.net/ark:/87602/m4/M12831,"56, 101"
Aulophyseter_morricei,Placentalia,Laurasiatheria,Artiodactyla,Physeteroidea,extinct,14.9,15.98,13.82,8508540,NA,NA,NA,Aquatic,USNM:PAL:V11230,https://n2t.net/ark:/87602/m4/451512,"76, 119"
Australopithecus_africanus,Placentalia,Euarchontoglires,Primates,Hominidae,extant,3.94,5.3,2.58,30500,NA,NA,NA,Terrestrial,STS:5,"Weber et al., 1997","15, 75"
Babakotia_radofilai,Placentalia,Euarchontoglires,Primates,Palaepropithecidae,extinct,0.00585,0.0117,0,21000,NA,Herbivore,NA,Arboreal,DPC:10994,https://n2t.net/ark:/87602/m4/613313,"82, 109, 114, 115"
Baiomys_taylori,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,7.43,Mixed,Herbivore,NA,Terrestrial,UMMZ:mammals:108722,https://n2t.net/ark:/87602/m4/M68560,"56, 101"
Balbaroo_nalima,Metatheria,Marsupialia,Diprotodontia,Balbaridae,extinct,13.805,15.98,11.63,9400,NA,Herbivore,NA,Terrestrial,QMF:31408,"Weisbecker et al., 2021",30
Barinya_wangala,Metatheria,Marsupialia,Dasyuromorphia,Dasyuridae,extant,19.515,23.05,15.98,445,NA,NA,NA,NA,QMF:36295,"Weisbecker et al., 2021","30, 121"
Barylambda_schmidti,Placentalia,Laurasiatheria,Pantodonta,Barylambdidae,extinct,54.3,57.5,51.1,620000,NA,Herbivore,NA,Terrestrial,fmnh:p:15573,https://n2t.net/ark:/87602/m4/405069,"76, 104"
Bathyergus_suillus,Placentalia,Euarchontoglires,Rodentia,Bathyergidae,extant,0,0,0,777.38,NA,Herbivore,Solitary,Fossorial,nml:19.8.75.14,https://n2t.net/ark:/87602/m4/M46728,"56, 101"
Batomys_salomonseni,Placentalia,Euarchontoglires,Rodentia,Muridae,extant,0,0,0,185.76,NA,Herbivore,NA,NA,ummz:mammals:160431,https://n2t.net/ark:/87602/m4/672426,"56, 101"
Beamys_hindei,Placentalia,Euarchontoglires,Rodentia,Nesomyidae,extant,0,0,0,75.8,NA,NA,NA,NA,ummz:mammals:121019,https://n2t.net/ark:/87602/m4/673823,"56, 101"
Berylmys_bowersi,Placentalia,Euarchontoglires,Rodentia,Muridae,extant,0,0,0,358.68,NA,NA,NA,NA,ummz:mammals:117164,https://n2t.net/ark:/87602/m4/672696,"56, 101"
Bettongia_penicillata,Metatheria,Marsupialia,Diprotodontia,Potoroidae,extant,0,0,0,1184.35,Nocturnal,Herbivore,Solitary,Semi-fossorial,SAM 24247,Phenome10K,"56, 101"
Bison_bison,Placentalia,Laurasiatheria,Artiodactyla,Bovidae,extant,0,0,0,624577.07,Mixed,Herbivore,Social,Terrestrial,YPM:3405,https://doi.org/10.6084/m9.figshare.26861932,"56, 101"
Blarina_brevicauda,Placentalia,Laurasiatheria,Eulipotyphla,Soricidae,extant,0,0,0,18.56,Nocturnal,Omnivore,Solitary,Terrestrial,UMMZ:mammals:47268,https://n2t.net/ark:/87602/m4/M68619,"56, 101"
