spp.names	lnCsize	lnMass	orderArctocyonia	orderArtiodactyla	orderCarnivora	orderChiroptera	orderCingulata	orderDasyuromorphia	orderDermoptera	orderDidelphimorphia	orderDinocerata	orderDiprotodontia	orderEulipotyphla	orderHyaenodonta	orderHyracoidea	orderLagomorpha	orderLeptictida	orderLitopterna	orderMacroscelididae	orderMicrobiotheria	orderMonotremata	orderMultituberculata	orderNotoryctemorphia	orderNotoungulata	orderPantodonta	orderPantolesta	orderPaucituberculata	orderPeramelemorphia	orderPerissodactyla	orderPholidota	orderPilosa	orderPlesiadapiformes	orderPrimates	orderProboscidea	orderRodentia	orderScandentia	orderSirenia	orderSparassodonta	orderTillodontia	orderTubulidentata	orderYalkaparidontia
Clethrionomys_glareolus	4.43315144281573	3.03158192644769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Colobus_angolensis	6.09670600576485	9.10390260962977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Condylura_cristata	4.5241304859921	3.87432113824413	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cormohipparion_occidentale	6.65315470325265	11.9250351157971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Craseonycteris_thonglongyai	3.7474521387088	0.672944473242426	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cricetomys_gambianus	5.28099419572453	7.14481751443355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Cricetus_cricetus	4.98810477424592	6.06134036201897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Crocuta_crocuta	6.44670413558894	11.0567455267108	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryptoprocta_ferox	5.88672110154724	9.15904707758863	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctenodactylus_sp	5.04947948875513	5.15675380222625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
